,return
2019-07-18,-0.7117030353498244
2019-07-19,-0.7175822702720112
2019-07-22,-0.06916606630632138
2019-07-23,-0.05314511406059452
2019-07-24,0.005492587549447592
2019-07-25,-0.003901889436431105
2019-07-26,0.2668180973792307
2019-07-29,-0.01244398262213764
2019-07-30,-0.43450155292892667
2019-07-31,0.0853213057104476
2019-08-01,-0.4500248999032266
2019-08-02,-0.08890740402233455
2019-08-05,-0.300690469078571
2019-08-06,-0.7697331960848555
2019-08-07,-0.7859562833029958
2019-08-08,-0.751936428847161
2019-08-09,-0.7559015143371788
2019-08-12,-0.630278224142856
2019-08-13,0.09378412270789127
2019-08-14,0.05997529931848966
2019-08-15,-0.45221014944894655
2019-08-16,-0.42837415927297506
2019-08-19,-0.05728914931822615
2019-08-20,-0.7381951133344593
2019-08-21,-0.6169774689224017
2019-08-22,-0.2873372193569619
2019-08-23,-0.4182239987823646
2019-08-26,-0.4553425659475998
2019-08-27,-0.4669447943681835
2019-08-28,-0.01212717443249467
2019-08-29,0.004655379167653351
2019-08-30,-0.7931957114231754
2019-09-03,-0.0946061749235092
2019-09-04,0.0066302588469770996
2019-09-05,-0.8706795997108934
2019-09-06,-0.4311514854625731
2019-09-09,0.09797957982248384
2019-09-10,-0.6503354700492352
2019-09-11,-0.7801133995852432
2019-09-12,0.06347220447749535
2019-09-13,-0.12918896594981888
2019-09-16,-0.40914600913331967
2019-09-17,-0.4187631048506244
2019-09-18,0.02613191171252005
2019-09-19,0.023619521954353573
2019-09-20,-0.3978469888025291
2019-09-23,0.014946733879714458
2019-09-24,-0.8030314529345741
2019-09-25,-0.008269310167110078
2019-09-26,-0.3708484075760836
2019-09-27,-0.4110602334385689
2019-09-30,-0.0853069675140059
2019-10-01,0.010046575559389481
2019-10-02,0.10063074701701424
2019-10-03,0.28098130417356515
2019-10-04,-0.22435086703439922
2019-10-07,-0.8102737605794683
2019-10-08,0.24825049462557836
2019-10-09,0.25793088069566394
2019-10-10,0.008931978148092767
2019-10-11,0.008762222216942561
2019-10-14,0.005656550344045996
2019-10-15,-0.11515298798072138
2019-10-16,-0.1365299122884096
2019-10-17,-0.09433115327511565
2019-10-18,-0.7579608788832459
2019-10-21,-0.42150353796183637
2019-10-22,-0.6158524291341401
2019-10-23,0.27801757841172936
2019-10-24,-0.2776712526857139
2019-10-25,0.03730110417694377
2019-10-28,-0.5939626657908814
2019-10-29,0.3832363937257277
2019-10-30,0.029366755722129767
2019-10-31,0.05123024571181922
2019-11-01,-0.24664644274290914
2019-11-04,-0.04819838933368281
2019-11-05,-0.20394563209769423
2019-11-06,-0.5877318812263788
2019-11-07,0.09342651742080044
2019-11-08,-0.178878956830955
2019-11-11,0.10080244046430131
2019-11-12,-0.2311138765077736
2019-11-13,-0.02958565857587736
2019-11-14,-0.06233342879809989
2019-11-15,0.002941376272717733
2019-11-18,-0.32832663983107047
2019-11-19,-0.4633040107469739
2019-11-20,-0.12866945319997214
2019-11-21,-0.0553034995199706
2019-11-22,-0.13276593720803298
2019-11-25,-0.08859863722068617
2019-11-26,0.12683966333254304
2019-11-27,0.12709067147747355
2019-11-29,-0.7890944267261588
2019-12-02,0.2460450176301059
2019-12-03,-0.8138507473233396
2019-12-04,0.025184329392523352
2019-12-05,-0.45892530410066
2019-12-06,-0.4708265672455134
2019-12-09,-0.789307923017736
2019-12-10,-0.09479009474277511
2019-12-11,-0.0962050380894155
2019-12-12,-0.05661598582033811
2019-12-13,-0.054995017379269484
2019-12-16,0.18747449218658296
2019-12-17,0.18947113544764527
2019-12-18,-0.08258181580548651
2019-12-19,-0.7714615726915639
2019-12-20,0.2209120900795014
2019-12-23,-0.5348530939836991
2019-12-24,-0.29120202253177574
2019-12-26,-0.39618687229101646
2019-12-27,-0.26484007238831353
2019-12-30,0.22627835437326738
2019-12-31,0.2426215449153002
2020-01-02,0.07013016421376328
2020-01-03,0.056240318492372765
2020-01-06,-0.14441385530480133
2020-01-07,0.2090457535965502
2020-01-08,-0.760241152233748
2020-01-09,-0.2882350767253037
2020-01-10,0.03636662424558068
2020-01-13,-0.6354969633149921
2020-01-14,-0.36436731675570044
2020-01-15,-0.7371612694931624
2020-01-16,0.26746476128515084
2020-01-17,-0.32994220420970954
2020-01-21,0.046285836661933644
2020-01-22,0.051434377121738706
2020-01-23,-0.2580984471143726
2020-01-24,-0.3647805433684521
2020-01-27,0.2459821905824544
2020-01-28,-0.4710289843654536
2020-01-29,0.4094406254481182
2020-01-30,-0.6809149157437329
2020-01-31,-0.69788983273809
2020-02-03,0.18822364805558145
2020-02-04,-0.27653033006018113
2020-02-05,-0.6213752057789552
2020-02-06,0.37621755661381506
2020-02-07,0.5742882012659152
2020-02-10,-0.29130035842598545
2020-02-11,-0.3186215220563291
2020-02-12,0.2211426608427871
2020-02-13,0.20326978151964248
2020-02-14,-0.1305562988693012
2020-02-18,-0.580775060167106
2020-02-19,-0.5647324967960365
2020-02-20,0.19280253063972452
2020-02-21,0.15883953762375036
2020-02-24,-0.2863950023674864
2020-02-25,-0.02749304853941048
2020-02-26,0.21765900589956644
2020-02-27,0.14305338356581743
2020-02-28,-0.44037849809899576
2020-03-02,-0.04787801695309568
2020-03-03,0.3128230097236102
2020-03-04,0.23628946768591064
2020-03-05,0.19834155917042118
2020-03-06,-0.7423106576882628
2020-03-09,0.34049389814737374
2020-03-10,-0.6048762551855997
2020-03-11,0.11972628191349166
2020-03-12,-0.4797022059061469
2020-03-13,-0.34771220363526467
2020-03-16,-0.0268333613360916
2020-03-17,0.048600550413530286
2020-03-18,-0.4151818338398936
2020-03-19,-0.5839427693554793
2020-03-20,-0.03287327660892103
2020-03-23,0.03764886166117343
2020-03-24,0.08407955285163915
2020-03-25,0.06789219750086417
2020-03-26,-0.32365228546506053
2020-03-27,0.07792123712069099
2020-03-30,-0.5796348571191121
2020-03-31,-0.5970373284444115
2020-04-01,-0.6359045815821194
2020-04-02,0.11102511490076239
2020-04-03,-0.2819517949767416
2020-04-06,0.1736593862765865
2020-04-07,-0.30311494780504944
2020-04-08,0.20427387868198288
2020-04-09,-0.3172826891060545
2020-04-13,-0.241464438519694
2020-04-14,-0.16402936569429905
2020-04-15,0.23021789124522307
2020-04-16,-0.5182647090868233
2020-04-17,-0.14366525127830876
2020-04-20,-0.1849335858281691
2020-04-21,-0.20123219518060864
2020-04-22,-0.05627950312985597
2020-04-23,-0.07578099336691402
2020-04-24,-0.16134369907570267
2020-04-27,0.2206726386845972
2020-04-28,0.2254059718645962
2020-04-29,-0.28421470012029815
2020-04-30,-0.5294195587670991
2020-05-01,0.5365900883264558
2020-05-04,0.30132243089550315
2020-05-05,-0.08516466791410693
2020-05-06,0.5227257675023402
2020-05-07,-0.4900184195679884
2020-05-08,-0.2708757908059809
2020-05-11,0.5644707036878547
2020-05-12,0.5730208172011384
2020-05-13,0.3780105176495603
2020-05-14,0.4098553101523006
2020-05-15,0.5469556803739639
2020-05-18,-0.4847068542909234
2020-05-19,0.2769631952645586
2020-05-20,-0.12449564291704007
2020-05-21,-0.14689563694434327
2020-05-22,0.15356162191201506
2020-05-26,-0.4823364023348269
2020-05-27,-0.12884346399765612
2020-05-28,-0.23258145770003225
2020-05-29,0.28535964285424775
2020-06-01,0.5517285151706766
2020-06-02,0.5877763621641332
2020-06-03,-0.13942018164551584
2020-06-04,-0.18202619075043103
2020-06-05,0.574766480054139
2020-06-08,-0.1459334151322924
2020-06-09,-0.5716239728645043
2020-06-10,-0.0697270604972573
2020-06-11,-0.15003601075962258
2020-06-12,0.021908279355765004
2020-06-15,-0.44681957551873275
2020-06-16,-0.11478789431109426
2020-06-17,-0.09883091788560172
2020-06-18,-0.07949480211433624
2020-06-19,-0.23692971272073926
2020-06-22,0.6528637480151858
2020-06-23,0.19152368638819617
2020-06-24,-0.08943757766319393
